Title,Released,Prod_Budget,Rated,Runtime,Genre,Director,Actors,Pirate_Count,Torrentz_Count,Zoogle_Ver_Count,Total_Torrents
The Core,2003-03-28,85000000.0,PG-13,135,"Action, Adventure, Sci-Fi",Jon Amiel,"Christopher Shyer, Ray Galletti, Eileen Pedde, Rekha Sharma",33.0,89.0,23.0,145.0
The Bourne Supremacy,2004-07-23,85000000.0,PG-13,108,"Action, Mystery, Thriller",Paul Greengrass,"Matt Damon, Franka Potente, Brian Cox, Julia Stiles",67.0,119.0,40.0,226.0
Enchanted,2007-11-21,85000000.0,PG,107,"Animation, Comedy, Family",Kevin Lima,"Amy Adams, Patrick Dempsey, James Marsden, Timothy Spall",38.0,143.0,21.0,202.0
Tower Heist,2011-11-04,85000000.0,PG-13,104,"Action, Comedy, Crime",Brett Ratner,"Ben Stiller, Eddie Murphy, Casey Affleck, Alan Alda",134.0,328.0,35.0,497.0
Scooby-Doo,2002-06-14,84000000.0,PG,86,"Adventure, Comedy, Mystery",Raja Gosnell,"Freddie Prinze Jr., Sarah Michelle Gellar, Matthew Lillard, Linda Cardellini",15.0,62.0,17.0,94.0
RED 2,2013-07-19,84000000.0,PG-13,116,"Action, Comedy, Crime",Dean Parisot,"Bruce Willis, John Malkovich, Mary-Louise Parker, Helen Mirren",76.0,440.0,37.0,553.0
Charlotte's Web,2006-12-15,82500000.0,G,97,"Comedy, Family, Fantasy",Gary Winick,"Julia Roberts, Steve Buscemi, John Cleese, Oprah Winfrey",20.0,16.0,15.0,51.0
Click,2006-06-23,82500000.0,PG-13,107,"Comedy, Drama, Fantasy",Frank Coraci,"Adam Sandler, Kate Beckinsale, Christopher Walken, David Hasselhoff",42.0,100.0,21.0,163.0
Jumper,2008-02-14,82500000.0,PG-13,88,"Action, Adventure, Sci-Fi",Doug Liman,"Hayden Christensen, Jamie Bell, Rachel Bilson, Diane Lane",85.0,638.0,50.0,773.0
The 6th Day,2000-11-17,82000000.0,PG-13,123,"Action, Mystery, Sci-Fi",Roger Spottiswoode,"Arnold Schwarzenegger, Michael Rapaport, Tony Goldwyn, Michael Rooker",26.0,91.0,30.0,147.0
The Expendables,2010-08-13,82000000.0,R,103,"Action, Adventure, Thriller",Sylvester Stallone,"Sylvester Stallone, Jason Statham, Jet Li, Dolph Lundgren",196.0,329.0,45.0,570.0
The Longest Yard,2005-05-27,82000000.0,PG-13,113,"Comedy, Crime, Sport",Peter Segal,"Adam Sandler, Chris Rock, Burt Reynolds, Nelly",23.0,67.0,24.0,114.0
Bruce Almighty,2003-05-23,81000000.0,PG-13,101,"Comedy, Drama, Fantasy",Tom Shadyac,"Jim Carrey, Morgan Freeman, Jennifer Aniston, Philip Baker Hall",30.0,116.0,23.0,169.0
Bedtime Stories,2008-12-25,80000000.0,PG,99,"Comedy, Family, Fantasy",Adam Shankman,"Adam Sandler, Keri Russell, Guy Pearce, Russell Brand",64.0,204.0,21.0,289.0
The Invasion,2007-08-17,80000000.0,PG-13,99,"Sci-Fi, Thriller","Oliver Hirschbiegel, James McTeigue","Nicole Kidman, Daniel Craig, Jeremy Northam, Jackson Bond",37.0,225.0,38.0,300.0
Pompeii,2014-02-21,80000000.0,PG-13,105,"Action, Adventure, Drama",Paul W.S. Anderson,"Kit Harington, Carrie-Anne Moss, Emily Browning, Adewale Akinnuoye-Agbaje",114.0,363.0,31.0,508.0
Mighty Joe Young,1998-12-25,80000000.0,PG,114,"Action, Adventure, Family",Ron Underwood,"Charlize Theron, Bill Paxton, Rade Serbedzija, Peter Firth",6.0,19.0,10.0,35.0
Mars Attacks!,1996-12-13,80000000.0,PG-13,106,"Comedy, Sci-Fi",Tim Burton,"Jack Nicholson, Glenn Close, Annette Bening, Pierce Brosnan",23.0,73.0,22.0,118.0
Deep Impact,1998-05-08,80000000.0,PG-13,120,"Action, Drama, Sci-Fi",Mimi Leder,"Robert Duvall, Téa Leoni, Elijah Wood, Vanessa Redgrave",36.0,121.0,28.0,185.0
Shutter Island,2010-02-19,80000000.0,R,138,"Mystery, Thriller",Martin Scorsese,"Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Max von Sydow",125.0,391.0,55.0,571.0
A Sound of Thunder,2005-09-02,80000000.0,PG-13,101,"Action, Adventure, Horror",Peter Hyams,"Armin Rohde, Heike Makatsch, Jemima Rooper, David Oyelowo",15.0,41.0,16.0,72.0
What Dreams May Come,1998-10-02,80000000.0,PG-13,113,"Drama, Fantasy, Romance",Vincent Ward,"Robin Williams, Cuba Gooding Jr., Annabella Sciorra, Max von Sydow",25.0,64.0,40.0,129.0
Grown Ups 2,2013-07-12,80000000.0,PG-13,101,Comedy,Dennis Dugan,"Adam Sandler, Kevin James, Chris Rock, David Spade",53.0,198.0,25.0,276.0
Daredevil,2003-02-14,80000000.0,PG-13,103,"Action, Crime, Drama",Mark Steven Johnson,"Ben Affleck, Jennifer Garner, Colin Farrell, Michael Clarke Duncan",42.0,161.0,32.0,235.0
Red Planet,2000-11-10,80000000.0,PG-13,106,"Action, Sci-Fi, Thriller",Antony Hoffman,"Val Kilmer, Carrie-Anne Moss, Tom Sizemore, Benjamin Bratt",27.0,81.0,26.0,134.0
The Manchurian Candidate,2004-07-30,80000000.0,R,129,"Drama, Mystery, Sci-Fi",Jonathan Demme,"Jeffrey Wright, Pablo Schreiber, Anthony Mackie, Dorian Missick",16.0,56.0,19.0,91.0
The Book of Eli,2010-01-15,80000000.0,R,118,"Action, Adventure, Drama","Albert Hughes, Allen Hughes","Denzel Washington, Gary Oldman, Mila Kunis, Ray Stevenson",129.0,286.0,31.0,446.0
The Pink Panther,2006-02-10,80000000.0,PG,93,"Adventure, Comedy, Crime",Shawn Levy,"Steve Martin, Kevin Kline, Jean Reno, Emily Mortimer",24.0,82.0,22.0,128.0
Lilo & Stitch,2002-06-21,80000000.0,PG,85,"Animation, Adventure, Comedy","Dean DeBlois, Chris Sanders","Daveigh Chase, Chris Sanders, Tia Carrere, David Ogden Stiers",24.0,475.0,38.0,537.0
Swordfish,2001-06-08,80000000.0,R,99,"Action, Crime, Thriller",Dominic Sena,"John Travolta, Hugh Jackman, Halle Berry, Don Cheadle",47.0,169.0,33.0,249.0
Face/Off,1997-06-27,80000000.0,R,138,"Action, Crime, Sci-Fi",John Woo,"John Travolta, Nicolas Cage, Joan Allen, Alessandro Nivola",45.0,157.0,46.0,248.0
The Time Machine,2002-03-08,80000000.0,PG-13,96,"Sci-Fi, Adventure, Action",Simon Wells,"Guy Pearce, Mark Addy, Phyllida Law, Sienna Guillory",37.0,94.0,31.0,162.0
The Day the Earth Stood Still,2008-12-12,80000000.0,PG-13,104,"Drama, Sci-Fi, Thriller",Scott Derrickson,"Keanu Reeves, Jennifer Connelly, Kathy Bates, Jaden Smith",91.0,312.0,32.0,435.0
