Title,Released,Prod_Budget,Rated,Runtime,Genre,Director,Actors,Pirate_Count,Torrentz_Count,Zoogle_Ver_Count,Total_Torrents
Erin Brockovich,2000-03-17,50000000.0,R,131,"Biography, Drama",Steven Soderbergh,"Julia Roberts, David Brisbin, Dawn Didawick, Albert Finney",19.0,67.0,30.0,116.0
Gamer,2009-09-04,50000000.0,R,95,"Action, Sci-Fi, Thriller","Mark Neveldine, Brian Taylor","Gerard Butler, Amber Valletta, Michael C. Hall, Kyra Sedgwick",79.0,394.0,41.0,514.0
Jack Frost,1998-12-11,50000000.0,PG,101,"Comedy, Drama, Family",Troy Miller,"Michael Keaton, Kelly Preston, Joseph Cross, Mark Addy",7.0,36.0,11.0,54.0
Silent Hill,2006-04-21,50000000.0,R,125,"Adventure, Horror, Mystery",Christophe Gans,"Radha Mitchell, Sean Bean, Laurie Holden, Deborah Kara Unger",51.0,174.0,40.0,265.0
Inside Man,2006-03-24,50000000.0,R,129,"Crime, Drama, Mystery",Spike Lee,"Denzel Washington, Clive Owen, Jodie Foster, Christopher Plummer",41.0,141.0,38.0,220.0
How to Lose a Guy in 10 Days,2003-02-07,50000000.0,PG-13,116,"Comedy, Romance",Donald Petrie,"Kate Hudson, Matthew McConaughey, Kathryn Hahn, Annie Parisse",8.0,36.0,20.0,64.0
Man of the House,2005-02-25,50000000.0,PG-13,100,"Action, Comedy",Stephen Herek,"Tommy Lee Jones, Cedric the Entertainer, Christina Milian, Paula Garcés",4.0,18.0,15.0,37.0
Dream House,2011-09-30,50000000.0,PG-13,84,"Drama, Mystery, Thriller",Jim Sheridan,"Daniel Craig, Naomi Watts, Rachel Weisz, Elias Koteas",81.0,203.0,38.0,322.0
Run All Night,2015-03-13,50000000.0,R,114,"Action, Crime, Drama",Jaume Collet-Serra,"Liam Neeson, Ed Harris, Joel Kinnaman, Boyd Holbrook",53.0,179.0,138.0,370.0
Baby's Day Out,1994-07-01,50000000.0,PG,99,"Adventure, Comedy, Crime",Patrick Read Johnson,"Joe Mantegna, Lara Flynn Boyle, Joe Pantoliano, Brian Haley",10.0,18.0,15.0,43.0
American Reunion,2012-04-06,50000000.0,R,113,Comedy,"Jon Hurwitz, Hayden Schlossberg","Jason Biggs, Alyson Hannigan, Chris Klein, Thomas Ian Nicholas",109.0,322.0,30.0,461.0
The Book of Life,2014-10-17,50000000.0,PG,95,"Animation, Adventure, Comedy",Jorge R. Gutiérrez,"Diego Luna, Zoe Saldana, Channing Tatum, Ron Perlman",7.0,208.0,27.0,242.0
The Forgotten,2004-09-24,50000000.0,PG-13,91,"Drama, Mystery, Sci-Fi",Joseph Ruben,"Julianne Moore, Christopher Kovaleski, Matthew Pleszewicz, Anthony Edwards",16.0,32.0,19.0,67.0
Race to Witch Mountain,2009-03-13,50000000.0,PG,98,"Action, Adventure, Family",Andy Fickman,"Dwayne Johnson, AnnaSophia Robb, Alexander Ludwig, Carla Gugino",44.0,216.0,27.0,287.0
The Replacements,2000-08-11,50000000.0,PG-13,118,"Comedy, Sport",Howard Deutch,"Keanu Reeves, Gene Hackman, Brooke Langton, Orlando Jones",7.0,51.0,15.0,73.0
Beautiful Creatures,2013-02-14,50000000.0,PG-13,124,"Drama, Fantasy, Romance",Richard LaGravenese,"Alden Ehrenreich, Alice Englert, Jeremy Irons, Viola Davis",111.0,267.0,25.0,403.0
Payback,1999-02-05,50000000.0,R,100,"Action, Crime, Drama",Brian Helgeland,"Mel Gibson, Gregg Henry, Maria Bello, David Paymer",29.0,97.0,36.0,162.0
