Title,Released,Prod_Budget,Dom_Gross,World_Gross
Terminator 3: Rise of the Machines,2003-07-01,170000000.0,150358296.0,433058296.0
Tomorrowland,2015-05-22,170000000.0,93436322.0,205336322.0
Iron Man 2,2010-05-07,170000000.0,312433331.0,623561331.0
Dawn of the Planet of the Apes,2014-07-11,170000000.0,208545589.0,703545589.0
Captain America: The Winter Soldier,2014-04-04,170000000.0,259746958.0,714401889.0
Wreck-It Ralph,2012-11-02,165000000.0,189412677.0,496511521.0
How to Train Your Dragon,2010-03-26,165000000.0,217581231.0,494870991.0
Shrek Forever After,2010-05-21,165000000.0,238736787.0,756244673.0
Big Hero 6,2014-11-07,165000000.0,222527828.0,652127828.0
Independence Day: Resurgence,2016-06-24,165000000.0,80383829.0,257483829.0
Interstellar,2014-11-05,165000000.0,188017894.0,665417894.0
Cowboys and Aliens,2011-07-29,163000000.0,100240551.0,175910315.0
Warcraft,2016-06-10,160000000.0,45990540.0,414881053.0
Poseidon,2006-05-12,160000000.0,60674817.0,181674817.0
X-Men: First Class,2011-06-03,160000000.0,146408305.0,355408305.0
The Sorcerer's Apprentice,2010-07-14,160000000.0,63150991.0,217986320.0
The Hunger Games: Mockingjay - Part 2,2015-11-20,160000000.0,281723902.0,650523427.0
Godzilla,2014-05-16,160000000.0,200672193.0,529072193.0
Fast and Furious 6,2013-05-24,160000000.0,238679850.0,789952811.0
Shrek the Third,2007-05-17,160000000.0,322719944.0,807330936.0
The Curious Case of Benjamin Button,2008-12-25,160000000.0,127509326.0,329809326.0
Inception,2010-07-16,160000000.0,292576195.0,832584416.0
Alexander,2004-11-24,155000000.0,34297191.0,167297191.0
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010-12-10,155000000.0,104386950.0,418186950.0
Terminator: Genisys,2015-07-01,155000000.0,89760956.0,440160956.0
Ghostbusters,2016-07-15,154000000.0,0.0,0.0
Pearl Harbor,2001-05-25,151500000.0,198539855.0,449239855.0
Transformers,2007-07-02,151000000.0,319246193.0,708272592.0
Thor: The Dark World,2013-11-08,150000000.0,206360018.0,644600394.0
