Title,Released,Prod_Budget,Dom_Gross,World_Gross
300,2007-03-09,60000000.0,210614939.0,454161935.0
 Legend of the Seven Seas,2003-07-02,60000000.0,26483452.0,80767884.0
 Armed & Fabulous,2005-03-24,60000000.0,48478006.0,101382396.0
Inkheart,2009-01-23,60000000.0,17303424.0,66655938.0
Reign of Fire,2002-02-19,60000000.0,43061982.0,82150183.0
 City of Bones,2013-08-21,60000000.0,31165421.0,75965567.0
Michael Jacksons This Is It,2009-10-28,60000000.0,72091016.0,252091016.0
 Afterlife,2010-09-10,57500000.0,60128566.0,295874190.0
Dragonheart,1996-05-31,57000000.0,51364680.0,104364680.0
Lolita,1998-07-22,55000000.0,1147784.0,1147784.0
Pocahontas,1995-06-10,55000000.0,141579773.0,347100000.0
George Of The Jungle,1997-07-16,55000000.0,105263257.0,174463257.0
A Very Long Engagement,2004-11-26,55000000.0,6167817.0,69759296.0
Aeon Flux,2005-12-02,55000000.0,25857987.0,47953341.0
Superman II,1981-06-19,54000000.0,108185706.0,108185706.0
 Part III,1990-12-25,54000000.0,66520529.0,66520529.0
The Thin Red Line,1998-12-23,52000000.0,36400491.0,97709034.0
 Fully Loaded,2005-06-22,50000000.0,66010682.0,144110682.0
Super 8,2011-06-09,50000000.0,127004179.0,257972745.0
Outlander,2009-01-23,50000000.0,166003.0,1250617.0
 Prince of Thieves,1991-06-14,50000000.0,165493908.0,390500000.0
As Good as it Gets,1997-12-24,50000000.0,148478011.0,314111923.0
Hannibal the Conqueror,2020-12-31,50000000.0,0.0,0.0
 The Legend Continues,2013-12-18,50000000.0,127352707.0,172185754.0
Story of Your Life,2016-11-11,50000000.0,0.0,0.0
We Bought a Zoo,2011-11-26,50000000.0,75624550.0,118729073.0
Eastern Promises,2007-09-14,50000000.0,17181265.0,56077088.0
Defiance,2008-12-31,50000000.0,28644813.0,52987754.0
Unfaithful,2002-05-08,50000000.0,52752475.0,119114494.0
 The Legend of Chun-Li,2009-02-27,50000000.0,9135036.0,12335036.0
Anna Karenina,2012-11-16,49000000.0,12816367.0,71004627.0
10 to Yuma,2007-09-02,48000000.0,53606916.0,71171825.0
K-PAX,2001-08-13,48000000.0,50315140.0,50315140.0
Taken III,2015-01-09,48000000.0,89256424.0,327656424.0
Traffic,2000-12-27,48000000.0,124107476.0,208300000.0
Inchon,1982-09-17,46000000.0,4408636.0,4408636.0
Galaxy Quest,1999-12-24,45000000.0,71423726.0,90523726.0
 Evolution,2006-01-20,45000000.0,62318875.0,113417762.0
Frankenstein,1994-11-04,45000000.0,22006296.0,112006296.0
 Royal Engagement,2004-08-11,45000000.0,95149435.0,122071435.0
Foodfight,2012-12-31,45000000.0,0.0,73706.0
Across the Universe,2007-09-14,45000000.0,24343673.0,29367143.0
Revolutionary Road,2008-12-26,45000000.0,22911480.0,79564960.0
Nixon,1995-12-20,45000000.0,13668249.0,34668249.0
Man cheng jin dai huang jin jia,2006-12-21,45000000.0,6566773.0,75566773.0
 First Blood Part II,1985-05-22,44000000.0,150415432.0,300400000.0
The Interview,2014-02-06,44000000.0,6105175.0,12342632.0
Finding Forrester,2000-12-19,43000000.0,51768623.0,80013623.0
Cleopatra,1963-06-12,42000000.0,57000000.0,71000000.0
Chicken Run,2000-06-21,42000000.0,106793915.0,227793915.0
Micmacs,2010-05-28,42000000.0,1259693.0,11756922.0
Pourquoi jai pas mangÃ© mon pÃ¨re,2015-12-31,42000000.0,0.0,182156.0
 amis pour la vie,2006-12-31,42000000.0,0.0,83833602.0
A KnightÂs Tale,2001-05-11,41000000.0,56083966.0,100622586.0
Back to the Future Part III,1990-05-24,40000000.0,88055283.0,244088654.0
Spawn,1997-07-31,40000000.0,54979992.0,87949859.0
The Crow,2015-12-31,40000000.0,0.0,0.0
Legal Eagles,1986-06-18,40000000.0,49851591.0,49851591.0
Impostor,2002-01-04,40000000.0,6114237.0,7974607.0
FearDotCom,2002-08-30,40000000.0,13208023.0,13208023.0
Dragon Nest Warriors Dawn,2014-12-31,40000000.0,0.0,155403.0
RiÂ¢hie RiÂ¢h,1994-12-21,40000000.0,38087756.0,38087756.0
Un monstre Ã  Paris ,2013-04-16,40000000.0,0.0,27000381.0
Pirates,1986-07-01,40000000.0,1641825.0,6341825.0
Snowpiercer,2014-06-27,40000000.0,4563029.0,88069880.0
The Talented Mr Ripley,1999-12-24,40000000.0,81292135.0,128792135.0
Escape From Planet Earth,2013-02-15,40000000.0,57012977.0,74156610.0
American Hustle,2013-12-13,40000000.0,150117807.0,257878294.0
The Hurricane,1999-12-29,38000000.0,50699241.0,73956241.0
 The Island of Lost Dreams,2002-08-07,38000000.0,85846296.0,119721296.0
 Generations,1994-11-18,38000000.0,75671262.0,120000000.0
Virgin Territory,2008-08-26,38000000.0,0.0,5473041.0
The Express,2008-10-04,37500000.0,9793406.0,9813309.0
Obitaemyy ostrov,2009-12-31,36500000.0,0.0,15000000.0
Snow Falling on Cedars,1999-12-24,36000000.0,14378353.0,14378353.0
Biutiful,2010-01-21,35000000.0,5101237.0,24687524.0
 The Motion Picture,1979-12-07,35000000.0,82258456.0,139000000.0
 The Spy Who Shagged Me,1999-06-10,35000000.0,206040085.0,310332636.0
J Edgar,2011-11-09,35000000.0,37306030.0,84606030.0
Wonder Boys,2000-02-23,35000000.0,19389454.0,33422485.0
Closer,2004-12-03,35000000.0,33987757.0,115476509.0
The Pianist,2002-12-27,35000000.0,32519322.0,111854182.0
 Long Walk to Freedom,2013-11-29,35000000.0,8323085.0,27480015.0
Black Water Transit,2008-12-31,35000000.0,0.0,0.0
 Rise of the Lycans,2009-01-23,35000000.0,45802315.0,89102315.0
The Tree of Life,2011-05-27,35000000.0,13305665.0,61721826.0
Lion of the Desert,1980-01-01,35000000.0,1500000.0,1500000.0
What Happens in Vegas,2008-05-03,35000000.0,80277646.0,218535708.0
Bound by Honor,1993-04-16,35000000.0,4496583.0,4496583.0
Saving Mr Banks,2013-12-13,35000000.0,83299761.0,114962525.0
The Walk,2015-09-30,35000000.0,10137502.0,61173364.0
Thunder & the House of Magic,2014-09-05,34000000.0,4091.0,10392666.0
The Age of Innocence,1993-09-17,34000000.0,32014993.0,32014993.0
Reds,1981-12-04,33500000.0,50000000.0,50000000.0
 Return of the Jedi,1983-05-25,32500000.0,309205079.0,572705079.0
The Reader,2008-12-10,32500000.0,34194407.0,113019290.0
Phenomenon,1996-07-05,32000000.0,104636382.0,152036382.0
Cradle Will Rock,1999-12-08,32000000.0,2899970.0,2899970.0
D-War,2007-09-14,32000000.0,10977721.0,79915361.0
George & the Dragon,2004-12-31,32000000.0,0.0,0.0
This is the End,2013-06-12,32000000.0,101470202.0,126539117.0
Midnight in Paris,2011-05-20,30000000.0,56816662.0,162942835.0
 The Curse of the Were-Rabbit,2005-10-05,30000000.0,56068547.0,197593152.0
Atonement,2007-12-07,30000000.0,50980159.0,129779728.0
 When Nature Calls,1995-11-10,30000000.0,108360063.0,212400000.0
The Merchant of Venice,2004-12-29,30000000.0,3765585.0,18765585.0
Million Dollar Baby,2004-12-15,30000000.0,100492203.0,232016402.0
Grace of Monaco,2015-12-01,30000000.0,0.0,25199891.0
Miss Potter,2006-12-29,30000000.0,3005605.0,35891257.0
 The Final Frontier,1989-06-09,30000000.0,52210049.0,70200000.0
Chicago,2002-12-27,30000000.0,170687518.0,306776732.0
Mystic River,2003-10-08,30000000.0,90135191.0,156822020.0
 The Final Insult,1994-03-18,30000000.0,51041856.0,51041856.0
27 Dresses,2008-01-13,30000000.0,76808654.0,160247805.0
Konferenz der Tiere,2010-12-31,30000000.0,0.0,53048539.0
Assault On Precinct 13,2005-01-19,30000000.0,20040895.0,36040895.0
Space Pirate Captain Harlock,2013-12-31,30000000.0,0.0,143490.0
Ripleys Game,2003-12-31,30000000.0,0.0,0.0
Savva Serdtse voyna,2016-03-08,30000000.0,0.0,172242.0
The Good Thief,2003-04-02,30000000.0,3517797.0,6460758.0
9,2009-09-09,30000000.0,31749894.0,48559999.0
Take the Lead,2006-04-01,30000000.0,34742066.0,65390493.0
Taking Woodstock,2009-08-26,29000000.0,7460204.0,10066366.0
Confessions of a Dangerous Mind,2002-12-31,29000000.0,16007718.0,33013805.0
Twelve Monkeys,1995-12-27,29000000.0,57141459.0,168841459.0
Die Hard,1988-07-15,28000000.0,81350242.0,139109346.0
Last Vegas,2013-01-28,28000000.0,63914167.0,112914167.0
Alatriste,2007-12-31,28000000.0,0.0,22860477.0
Aladdin,1992-11-11,28000000.0,217350219.0,504050219.0
The Magic Flute,2006-12-31,27000000.0,0.0,0.0
Die Unendliche Geschichte,1984-07-20,27000000.0,21300000.0,21300000.0
 The Undiscovered Country,1991-12-06,27000000.0,74888996.0,96900000.0
